Scenario - 
Logfile written - 03/09/2016 11:37:21

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

SEE_02_64_M	1	Response	0	190311	190161	1
SEE_02_64_M	4	Picture	+	230661	0	1	63832	1	0	next	other	0
SEE_02_64_M	5	Sound	hi097a	230662	0	1			0		other	0
SEE_02_64_M	6	Picture	500+	294492	0	1	5167	1	0	5000	other	0
SEE_02_64_M	7	Picture	low_P168	299659	0	1	30166	1	0	30000	other	0
SEE_02_64_M	8	Picture	+	329825	0	1	59165	1	0	next	other	0
SEE_02_64_M	9	Sound	hi097b	329825	0	1			0		other	0
SEE_02_64_M	10	Picture	500+	388990	0	1	5167	1	0	5000	other	0
SEE_02_64_M	11	Picture	hi_O132	394157	0	1	30166	1	0	30000	other	0
SEE_02_64_M	12	Picture	+	424489	0	1	20166	1	0	32670	other	0
SEE_02_64_M	13	Picture	hi_P144	444655	0	1	30166	1	0	30000	other	0
SEE_02_64_M	14	Picture	+	474988	0	1	20166	1	0	43630	other	0
SEE_02_64_M	15	Picture	low_A090	495154	0	1	30166	1	0	30000	other	0
SEE_02_64_M	16	Picture	+	525487	0	1	87831	1	0	next	other	0
SEE_02_64_M	17	Sound	low149a	545487	0	1			0		other	0
SEE_02_64_M	18	Picture	500+	613318	0	1	5167	1	0	5000	other	0
SEE_02_64_M	19	Picture	low_A221	618484	0	1	30166	1	0	30000	other	0
SEE_02_64_M	20	Picture	+	648817	0	1	65998	1	0	next	other	0
SEE_02_64_M	21	Sound	low149b	648817	0	2			0		other	0
SEE_02_64_M	22	Picture	500+	714815	0	1	5167	1	0	5000	other	0
SEE_02_64_M	23	Picture	hi_F158	719982	0	1	30166	1	0	30000	other	0
SEE_02_64_M	24	Picture	+	750314	0	1	20166	1	0	32150	other	0
SEE_02_64_M	25	Picture	hi_A063	770480	0	1	30166	1	0	30000	other	0
SEE_02_64_M	26	Picture	+	800813	0	1	20166	1	0	41790	other	0
SEE_02_64_M	27	Picture	low_A139	820979	0	1	30166	1	0	30000	other	0
SEE_02_64_M	28	Picture	+	851312	0	1	76332	1	0	next	other	0
SEE_02_64_M	29	Sound	hi010a	871312	0	1			0		other	0
SEE_02_64_M	30	Picture	500+	927643	0	1	5167	1	0	5000	other	0
SEE_02_64_M	31	Picture	low_P152	932810	0	1	30166	1	0	30000	other	0
SEE_02_64_M	32	Picture	+	962976	0	1	58165	1	0	next	other	0
SEE_02_64_M	33	Sound	hi010b	962976	0	1			0		other	0
SEE_02_64_M	34	Picture	500+	1021141	0	1	5167	1	0	5000	other	0
SEE_02_64_M	35	Picture	hi_P132	1026307	0	1	30166	1	0	30000	other	0
SEE_02_64_M	36	Picture	+	1056640	0	1	20166	1	0	31570	other	0
SEE_02_64_M	37	Picture	hi_O001	1076806	0	1	30166	1	0	30000	other	0
SEE_02_64_M	38	Picture	+	1107139	0	1	20166	1	0	39860	other	0
SEE_02_64_M	39	Picture	low_F045	1127305	0	1	30166	1	0	30000	other	0
SEE_02_64_M	40	Picture	+	1157637	0	1	89831	1	0	next	other	0
SEE_02_64_M	41	Sound	low049a	1177638	0	2			0		other	0
SEE_02_64_M	42	Picture	500+	1247468	0	1	5167	1	0	5000	other	0
SEE_02_64_M	43	Picture	low_O326	1252635	0	1	30166	1	0	30000	other	0
SEE_02_64_M	44	Picture	+	1282801	0	1	59498	1	0	next	other	0
SEE_02_64_M	45	Sound	low049b	1282801	0	1			0		other	0
SEE_02_64_M	46	Picture	500+	1342299	0	1	5167	1	0	5000	other	0
SEE_02_64_M	47	Picture	hi_F010	1347633	0	1	30166	1	0	30000	other	0
