Scenario - 
Logfile written - 03/11/2016 11:31:42

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

SEE_04_64_FL	1	Response	0	374824	374675	1
SEE_04_64_FL	4	Picture	+	415489	0	1	58832	1	0	next	other	0
SEE_04_64_FL	5	Sound	low271a	415491	0	1			0		other	0
SEE_04_64_FL	6	Picture	500+	474321	0	1	5167	1	0	5000	other	0
SEE_04_64_FL	7	Picture	low_A217	479488	0	1	30166	1	0	30000	other	0
SEE_04_64_FL	8	Picture	+	509654	0	1	68665	1	0	next	other	0
SEE_04_64_FL	9	Sound	low271b	509654	0	1			0		other	0
SEE_04_64_FL	10	Picture	500+	578319	0	1	5167	1	0	5000	other	0
SEE_04_64_FL	11	Picture	hi_A069	583485	0	1	30166	1	0	30000	other	0
SEE_04_64_FL	12	Picture	+	613818	0	1	20166	1	0	43080	other	0
SEE_04_64_FL	13	Picture	hi_A030	633984	0	1	30166	1	0	30000	other	0
SEE_04_64_FL	14	Picture	+	664317	0	1	20166	1	0	37310	other	0
SEE_04_64_FL	15	Picture	low_F333	684483	0	1	30166	1	0	30000	other	0
SEE_04_64_FL	16	Picture	+	714815	0	1	82998	1	0	next	other	0
SEE_04_64_FL	17	Sound	low034a	734816	0	1			0		other	0
SEE_04_64_FL	18	Picture	500+	797813	0	1	5167	1	0	5000	other	0
SEE_04_64_FL	19	Picture	hi_F321	803146	0	1	30166	1	0	30000	other	0
SEE_04_64_FL	20	Picture	+	833312	0	1	61332	1	0	next	other	0
SEE_04_64_FL	21	Sound	low034b	833313	0	1			0		other	0
SEE_04_64_FL	22	Picture	500+	894644	0	1	5167	1	0	5000	other	0
SEE_04_64_FL	23	Picture	low_F124	899811	0	1	30166	1	0	30000	other	0
SEE_04_64_FL	24	Picture	+	930143	0	1	20166	1	0	40650	other	0
SEE_04_64_FL	25	Picture	hi_F003	950309	0	1	30166	1	0	30000	other	0
SEE_04_64_FL	26	Picture	+	980642	0	1	20166	1	0	37450	other	0
SEE_04_64_FL	27	Picture	low_A128	1000808	0	1	30166	1	0	30000	other	0
SEE_04_64_FL	28	Picture	+	1031141	0	1	76665	1	0	next	other	0
SEE_04_64_FL	29	Sound	low278a	1051142	0	1			0		other	0
SEE_04_64_FL	30	Picture	500+	1107806	0	1	5167	1	0	5000	other	0
SEE_04_64_FL	31	Picture	hi_O285	1112972	0	1	30166	1	0	30000	other	0
SEE_04_64_FL	32	Picture	+	1143138	0	1	66165	1	0	next	other	0
SEE_04_64_FL	33	Sound	low278b	1143139	0	2			0		other	0
SEE_04_64_FL	34	Picture	500+	1209303	0	1	5167	1	0	5000	other	0
SEE_04_64_FL	35	Picture	low_P195	1214470	0	1	30166	1	0	30000	other	0
SEE_04_64_FL	36	Picture	+	1244802	0	1	20166	1	0	32800	other	0
SEE_04_64_FL	37	Picture	hi_A061	1264968	0	1	30166	1	0	30000	other	0
SEE_04_64_FL	38	Picture	+	1295301	0	1	20166	1	0	35500	other	0
SEE_04_64_FL	39	Picture	low_F115	1315467	0	1	30166	1	0	30000	other	0
SEE_04_64_FL	40	Picture	+	1345800	0	1	75165	1	0	next	other	0
SEE_04_64_FL	41	Sound	low053a	1365801	0	1			0		other	0
SEE_04_64_FL	42	Picture	500+	1420964	0	1	5167	1	0	5000	other	0
SEE_04_64_FL	43	Picture	hi_P235	1426131	0	1	30166	1	0	30000	other	0
SEE_04_64_FL	44	Picture	+	1456297	0	1	62998	1	0	next	other	0
SEE_04_64_FL	45	Sound	low053b	1456298	0	1			0		other	0
SEE_04_64_FL	46	Picture	500+	1519295	0	1	5167	1	0	5000	other	0
SEE_04_64_FL	47	Picture	low_L167	1524462	0	1	30166	1	0	30000	other	0
SEE_04_64_FL	48	Picture	+	1554794	0	1	20166	1	0	34480	other	0
SEE_04_64_FL	49	Picture	hi_P123	1574961	0	1	30166	1	0	30000	other	0
SEE_04_64_FL	50	Picture	+	1605293	0	1	20166	1	0	35030	other	0
