Scenario - 
Logfile written - 03/11/2016 15:26:20

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

SEE_06_64_FR	1	Response	0	1033491	1033341	1
SEE_06_64_FR	4	Picture	+	1073973	0	1	58332	1	0	next	other	0
SEE_06_64_FR	5	Sound	hi319a	1073974	0	1			0		other	0
SEE_06_64_FR	6	Picture	500+	1132305	0	1	5167	1	0	5000	other	0
SEE_06_64_FR	7	Picture	low_L041	1137472	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	8	Picture	+	1167638	0	1	60998	1	0	next	other	0
SEE_06_64_FR	9	Sound	hi319b	1167638	0	2			0		other	0
SEE_06_64_FR	10	Picture	500+	1228636	0	1	5167	1	0	5000	other	0
SEE_06_64_FR	11	Picture	hi_P008	1233803	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	12	Picture	+	1264135	0	1	20166	1	0	37980	other	0
SEE_06_64_FR	13	Picture	hi_A050	1284301	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	14	Picture	+	1314634	0	1	20166	1	0	43190	other	0
SEE_06_64_FR	15	Picture	low_P152	1334800	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	16	Picture	+	1365133	0	1	89331	1	0	next	other	0
SEE_06_64_FR	17	Sound	hi241a	1385133	0	1			0		other	0
SEE_06_64_FR	18	Picture	500+	1454464	0	1	5167	1	0	5000	other	0
SEE_06_64_FR	19	Picture	low_L021	1459630	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	20	Picture	+	1489796	0	1	69332	1	0	next	other	0
SEE_06_64_FR	21	Sound	hi241b	1489797	0	1			0		other	0
SEE_06_64_FR	22	Picture	500+	1559128	0	1	5167	1	0	5000	other	0
SEE_06_64_FR	23	Picture	hi_A039	1564294	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	24	Picture	+	1594627	0	1	20166	1	0	32710	other	0
SEE_06_64_FR	25	Picture	hi_P021	1614793	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	26	Picture	+	1645126	0	1	20166	1	0	40190	other	0
SEE_06_64_FR	27	Picture	low_F358	1665292	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	28	Picture	+	1695624	0	1	85331	1	0	next	other	0
SEE_06_64_FR	29	Sound	low024a	1715625	0	1			0		other	0
SEE_06_64_FR	30	Picture	500+	1780956	0	1	5167	1	0	5000	other	0
SEE_06_64_FR	31	Picture	low_L034	1786122	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	32	Picture	+	1816455	0	1	66665	1	0	next	other	0
SEE_06_64_FR	33	Sound	low024b	1816455	0	1			0		other	0
SEE_06_64_FR	34	Picture	500+	1883120	0	1	5166	1	0	5000	other	0
SEE_06_64_FR	35	Picture	hi_F164	1888286	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	36	Picture	+	1918619	0	1	20166	1	0	31320	other	0
SEE_06_64_FR	37	Picture	hi_P128	1938785	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	38	Picture	+	1969118	0	1	20166	1	0	37900	other	0
SEE_06_64_FR	39	Picture	low_A139	1989284	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	40	Picture	+	2019616	0	1	78331	1	0	next	other	0
SEE_06_64_FR	41	Sound	hi103a	2039617	0	1			0		other	0
SEE_06_64_FR	42	Picture	500+	2097948	0	1	5167	1	0	5000	other	0
SEE_06_64_FR	43	Picture	hi_P246	2103114	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	44	Picture	+	2133280	0	1	64332	1	0	next	other	0
SEE_06_64_FR	45	Sound	hi103b	2133281	0	1			0		other	0
SEE_06_64_FR	46	Picture	500+	2197612	0	1	5167	1	0	5000	other	0
SEE_06_64_FR	47	Picture	low_A128	2202945	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	48	Picture	+	2233278	0	1	20166	1	0	38110	other	0
SEE_06_64_FR	49	Picture	low_L178	2253444	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	50	Picture	+	2283776	0	1	20166	1	0	30390	other	0
SEE_06_64_FR	51	Picture	hi_F290	2303943	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	52	Picture	+	2334275	0	1	86331	1	0	next	other	0
SEE_06_64_FR	53	Sound	low281a	2354276	0	1			0		other	0
SEE_06_64_FR	54	Picture	500+	2420606	0	1	5166	1	0	5000	other	0
SEE_06_64_FR	55	Picture	hi_P029	2425773	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	56	Picture	+	2455939	0	1	62332	1	0	next	other	0
SEE_06_64_FR	57	Sound	low281b	2455940	0	2			0		other	0
SEE_06_64_FR	58	Picture	500+	2518271	0	1	5167	1	0	5000	other	0
SEE_06_64_FR	59	Picture	low_O325	2523437	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	60	Picture	+	2553770	0	1	20166	1	0	35930	other	0
SEE_06_64_FR	61	Picture	hi_A013	2573936	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	62	Picture	+	2604269	0	1	20166	1	0	32140	other	0
SEE_06_64_FR	63	Picture	low_F052	2624435	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	64	Picture	+	2654767	0	1	89664	1	0	next	other	0
SEE_06_64_FR	65	Sound	low038a	2674768	0	1			0		other	0
SEE_06_64_FR	66	Picture	500+	2744432	0	1	5167	1	0	5000	other	0
SEE_06_64_FR	67	Picture	low_F129	2749598	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	68	Picture	+	2779764	0	1	57832	1	0	next	other	0
SEE_06_64_FR	69	Sound	low038b	2779765	0	1			0		other	0
SEE_06_64_FR	70	Picture	500+	2837596	0	1	5167	1	0	5000	other	0
SEE_06_64_FR	71	Picture	hi_O004	2842929	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	72	Picture	+	2873262	0	1	20166	1	0	39680	other	0
SEE_06_64_FR	73	Picture	hi_A001	2893428	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	74	Picture	+	2923761	0	1	20166	1	0	33050	other	0
SEE_06_64_FR	75	Picture	low_A192	2943927	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	76	Picture	+	2974259	0	1	77331	1	0	next	other	0
SEE_06_64_FR	77	Sound	hi310a	2994260	0	1			0		other	0
SEE_06_64_FR	78	Picture	500+	3051591	0	1	5167	1	0	5000	other	0
SEE_06_64_FR	79	Picture	hi_L005	3056757	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	80	Picture	+	3086923	0	1	60332	1	0	next	other	0
SEE_06_64_FR	81	Sound	hi310b	3086924	0	1			0		other	0
SEE_06_64_FR	82	Picture	500+	3147255	0	1	5167	1	0	5000	other	0
SEE_06_64_FR	83	Picture	low_F203	3152422	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	84	Picture	+	3182754	0	1	20166	1	0	34530	other	0
SEE_06_64_FR	85	Picture	low_F098	3202920	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	86	Picture	+	3233253	0	1	20166	1	0	43690	other	0
SEE_06_64_FR	87	Picture	hi_P200	3253419	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	88	Picture	+	3283752	0	1	88164	1	0	next	other	0
SEE_06_64_FR	89	Sound	low282a	3303753	0	1			0		other	0
SEE_06_64_FR	90	Picture	500+	3371916	0	1	5167	1	0	5000	other	0
SEE_06_64_FR	91	Picture	low_A123	3377083	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	92	Picture	+	3407248	0	1	60665	1	0	next	other	0
SEE_06_64_FR	93	Sound	low282b	3407249	0	1			0		other	0
SEE_06_64_FR	94	Picture	500+	3467914	0	1	5167	1	0	5000	other	0
SEE_06_64_FR	95	Picture	hi_P016	3473080	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	96	Picture	+	3503413	0	1	20166	1	0	40450	other	0
SEE_06_64_FR	97	Picture	low_O326	3523579	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	98	Picture	+	3553912	0	1	20166	1	0	40090	other	0
SEE_06_64_FR	99	Picture	hi_A077	3574078	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	100	Picture	+	3604410	0	1	75165	1	0	next	other	0
SEE_06_64_FR	101	Sound	low179a	3624411	0	1			0		other	0
SEE_06_64_FR	102	Picture	500+	3679575	0	1	5167	1	0	5000	other	0
SEE_06_64_FR	103	Picture	low_A194	3684742	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	104	Picture	+	3714908	0	1	65498	1	0	next	other	0
SEE_06_64_FR	105	Sound	low179b	3714908	0	1			0		other	0
SEE_06_64_FR	106	Picture	500+	3780406	0	1	5167	1	0	5000	other	0
SEE_06_64_FR	107	Picture	hi_P020	3785739	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	108	Picture	+	3816072	0	1	20166	1	0	36470	other	0
SEE_06_64_FR	109	Picture	low_F138	3836238	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	110	Picture	+	3866571	0	1	20166	1	0	31020	other	0
SEE_06_64_FR	111	Picture	hi_A030	3886737	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	112	Picture	+	3917069	0	1	83831	1	0	next	other	0
SEE_06_64_FR	113	Sound	hi314a	3937070	0	1			0		other	0
SEE_06_64_FR	114	Picture	500+	4000901	0	1	5167	1	0	5000	other	0
SEE_06_64_FR	115	Picture	hi_L002	4006067	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	116	Picture	+	4036400	0	1	55499	1	0	next	other	0
SEE_06_64_FR	117	Sound	hi314b	4036400	0	1			0		other	0
SEE_06_64_FR	118	Picture	500+	4091898	0	1	5167	1	0	5000	other	0
SEE_06_64_FR	119	Picture	low_L138	4097231	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	120	Picture	+	4127564	0	1	20166	1	0	38640	other	0
SEE_06_64_FR	121	Picture	low_L125	4147730	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	122	Picture	+	4178063	0	1	20166	1	0	42540	other	0
SEE_06_64_FR	123	Picture	hi_A061	4198229	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	124	Picture	+	4228562	0	1	86164	1	0	next	other	0
SEE_06_64_FR	125	Sound	low037a	4248562	0	1			0		other	0
SEE_06_64_FR	126	Picture	500+	4314726	0	1	5167	1	0	5000	other	0
SEE_06_64_FR	127	Picture	hi_F163	4319893	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	128	Picture	+	4350225	0	1	62332	1	0	next	other	0
SEE_06_64_FR	129	Sound	low037b	4350226	0	1			0		other	0
SEE_06_64_FR	130	Picture	500+	4412557	0	1	5167	1	0	5000	other	0
SEE_06_64_FR	131	Picture	low_O190	4417724	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	132	Picture	+	4448056	0	1	20166	1	0	31410	other	0
SEE_06_64_FR	133	Picture	hi_P237	4468222	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	134	Picture	+	4498555	0	1	20166	1	0	41300	other	0
SEE_06_64_FR	135	Picture	low_P110	4518721	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	136	Picture	+	4549054	0	1	85498	1	0	next	other	0
SEE_06_64_FR	137	Sound	hi308a	4569054	0	1			0		other	0
SEE_06_64_FR	138	Picture	500+	4634551	0	1	5167	1	0	5000	other	0
SEE_06_64_FR	139	Picture	low_A221	4639718	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	140	Picture	+	4669884	0	1	58165	1	0	next	other	0
SEE_06_64_FR	141	Sound	hi308b	4669885	0	1			0		other	0
SEE_06_64_FR	142	Picture	500+	4728049	0	1	5167	1	0	5000	other	0
SEE_06_64_FR	143	Picture	hi_F019	4733216	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	144	Picture	+	4763548	0	1	20166	1	0	30210	other	0
SEE_06_64_FR	145	Picture	hi_P071	4783714	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	146	Picture	+	4814047	0	1	20166	1	0	33360	other	0
SEE_06_64_FR	147	Picture	low_F244	4834213	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	148	Picture	+	4864546	0	1	76998	1	0	next	other	0
SEE_06_64_FR	149	Sound	low341a	4884547	0	1			0		other	0
SEE_06_64_FR	150	Picture	500+	4941544	0	1	5167	1	0	5000	other	0
SEE_06_64_FR	151	Picture	low_A108	4946710	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	152	Picture	+	4976876	0	1	69665	1	0	next	other	0
SEE_06_64_FR	153	Sound	low341b	4976877	0	1			0		other	0
SEE_06_64_FR	154	Picture	500+	5046541	0	1	5167	1	0	5000	other	0
SEE_06_64_FR	155	Picture	hi_A085	5051708	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	156	Picture	+	5082040	0	1	20166	1	0	33990	other	0
SEE_06_64_FR	157	Picture	hi_F041	5102206	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	158	Picture	+	5132539	0	1	20166	1	0	40080	other	0
SEE_06_64_FR	159	Picture	low_F343	5152705	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	160	Picture	+	5183038	0	1	84165	1	0	next	other	0
SEE_06_64_FR	161	Sound	low049a	5203039	0	1			0		other	0
SEE_06_64_FR	162	Picture	500+	5267202	0	1	5167	1	0	5000	other	0
SEE_06_64_FR	163	Picture	low_L071	5272536	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	164	Picture	+	5302702	0	1	68665	1	0	next	other	0
SEE_06_64_FR	165	Sound	low049b	5302702	0	1			0		other	0
SEE_06_64_FR	166	Picture	500+	5371367	0	1	5167	1	0	5000	other	0
SEE_06_64_FR	167	Picture	hi_P202	5376700	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	168	Picture	+	5407032	0	1	20166	1	0	43070	other	0
SEE_06_64_FR	169	Picture	hi_F172	5427198	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	170	Picture	+	5457531	0	1	20166	1	0	32730	other	0
SEE_06_64_FR	171	Picture	low_L133	5477697	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	172	Picture	+	5508030	0	1	80998	1	0	next	other	0
SEE_06_64_FR	173	Sound	hi009a	5528031	0	1			0		other	0
SEE_06_64_FR	174	Picture	500+	5589028	0	1	5167	1	0	5000	other	0
SEE_06_64_FR	175	Picture	low_L098	5594194	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	176	Picture	+	5624360	0	1	58332	1	0	next	other	0
SEE_06_64_FR	177	Sound	hi009b	5624361	0	1			0		other	0
SEE_06_64_FR	178	Picture	500+	5682692	0	1	5167	1	0	5000	other	0
SEE_06_64_FR	179	Picture	hi_F152	5687859	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	180	Picture	+	5718191	0	1	20166	1	0	40100	other	0
SEE_06_64_FR	181	Picture	hi_A024	5738357	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	182	Picture	+	5768690	0	1	20166	1	0	43030	other	0
SEE_06_64_FR	183	Picture	low_L049	5788856	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	184	Picture	+	5819189	0	1	84498	1	0	next	other	0
SEE_06_64_FR	185	Sound	hi007a	5839190	0	1			0		other	0
SEE_06_64_FR	186	Picture	500+	5903687	0	1	5167	1	0	5000	other	0
SEE_06_64_FR	187	Picture	hi_P038	5908853	0	1	30166	1	0	30000	other	0
SEE_06_64_FR	188	Picture	+	5939019	0	1	69332	1	0	next	other	0
SEE_06_64_FR	189	Sound	hi007b	5939020	0	1			0		other	0
SEE_06_64_FR	190	Picture	500+	6008351	0	1	5167	1	0	5000	other	0
SEE_06_64_FR	191	Picture	low_L130	6013517	0	1	30166	1	0	30000	other	0
