Scenario - 
Logfile written - 04/04/2016 15:13:25

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

SEE_10_64_MR	1	Response	0	998402	998253	1
SEE_10_64_MR	4	Picture	+	1038800	0	1	67831	1	0	next	other	0
SEE_10_64_MR	5	Sound	hi139a	1038801	0	1			0		other	0
SEE_10_64_MR	6	Picture	500+	1106632	0	1	5166	1	0	5000	other	0
SEE_10_64_MR	7	Picture	hi_F158	1111798	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	8	Picture	+	1141964	0	1	56332	1	0	next	other	0
SEE_10_64_MR	9	Sound	hi139b	1141965	0	1			0		other	0
SEE_10_64_MR	10	Picture	500+	1198295	0	1	5167	1	0	5000	other	0
SEE_10_64_MR	11	Picture	low_P054	1203629	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	12	Picture	+	1233961	0	1	20166	1	0	32110	other	0
SEE_10_64_MR	13	Picture	hi_O006	1254127	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	14	Picture	+	1284459	0	1	20166	1	0	39550	other	0
SEE_10_64_MR	15	Picture	low_A113	1304625	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	16	Picture	+	1334958	0	1	76998	1	0	next	other	0
SEE_10_64_MR	17	Sound	low275a	1354959	0	1			0		other	0
SEE_10_64_MR	18	Picture	500+	1411955	0	1	5167	1	0	5000	other	0
SEE_10_64_MR	19	Picture	hi_A033	1417122	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	20	Picture	+	1447288	0	1	64831	1	0	next	other	0
SEE_10_64_MR	21	Sound	low275b	1447288	0	2			0		other	0
SEE_10_64_MR	22	Picture	500+	1512119	0	1	5166	1	0	5000	other	0
SEE_10_64_MR	23	Picture	low_A139	1517452	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	24	Picture	+	1547784	0	1	20166	1	0	32390	other	0
SEE_10_64_MR	25	Picture	hi_P217	1567951	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	26	Picture	+	1598283	0	1	20166	1	0	38630	other	0
SEE_10_64_MR	27	Picture	low_L075	1618449	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	28	Picture	+	1648781	0	1	78498	1	0	next	other	0
SEE_10_64_MR	29	Sound	hi009a	1668782	0	1			0		other	0
SEE_10_64_MR	30	Picture	500+	1727279	0	1	5167	1	0	5000	other	0
SEE_10_64_MR	31	Picture	low_O192	1732445	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	32	Picture	+	1762778	0	1	64831	1	0	next	other	0
SEE_10_64_MR	33	Sound	hi009b	1762778	0	2			0		other	0
SEE_10_64_MR	34	Picture	500+	1827609	0	1	5166	1	0	5000	other	0
SEE_10_64_MR	35	Picture	hi_F025	1832775	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	36	Picture	+	1863108	0	1	20166	1	0	41180	other	0
SEE_10_64_MR	37	Picture	hi_A048	1883274	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	38	Picture	+	1913606	0	1	20166	1	0	44810	other	0
SEE_10_64_MR	39	Picture	low_F099	1933772	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	40	Picture	+	1964105	0	1	89830	1	0	next	other	0
SEE_10_64_MR	41	Sound	hi308a	1984106	0	1			0		other	0
SEE_10_64_MR	42	Picture	500+	2053935	0	1	5167	1	0	5000	other	0
SEE_10_64_MR	43	Picture	low_L163	2059102	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	44	Picture	+	2089434	0	1	57498	1	0	next	other	0
SEE_10_64_MR	45	Sound	hi308b	2089435	0	1			0		other	0
SEE_10_64_MR	46	Picture	500+	2146932	0	1	5166	1	0	5000	other	0
SEE_10_64_MR	47	Picture	hi_O126	2152099	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	48	Picture	+	2182431	0	1	20166	1	0	35510	other	0
SEE_10_64_MR	49	Picture	hi_F280	2202597	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	50	Picture	+	2232930	0	1	20166	1	0	42400	other	0
SEE_10_64_MR	51	Picture	low_A158	2253096	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	52	Picture	+	2283428	0	1	82331	1	0	next	other	0
SEE_10_64_MR	53	Sound	hi162a	2303429	0	1			0		other	0
SEE_10_64_MR	54	Picture	500+	2365759	0	1	5167	1	0	5000	other	0
SEE_10_64_MR	55	Picture	hi_P058	2370925	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	56	Picture	+	2401091	0	1	60165	1	0	next	other	0
SEE_10_64_MR	57	Sound	hi162b	2401092	0	1			0		other	0
SEE_10_64_MR	58	Picture	500+	2461256	0	1	5166	1	0	5000	other	0
SEE_10_64_MR	59	Picture	low_O043	2466422	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	60	Picture	+	2496755	0	1	20166	1	0	40370	other	0
SEE_10_64_MR	61	Picture	hi_P231	2516921	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	62	Picture	+	2547253	0	1	20166	1	0	42840	other	0
SEE_10_64_MR	63	Picture	low_P168	2567419	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	64	Picture	+	2597752	0	1	76164	1	0	next	other	0
SEE_10_64_MR	65	Sound	hi142a	2617752	0	1			0		other	0
SEE_10_64_MR	66	Picture	500+	2673916	0	1	5166	1	0	5000	other	0
SEE_10_64_MR	67	Picture	hi_F271	2679082	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	68	Picture	+	2709248	0	1	70165	1	0	next	other	0
SEE_10_64_MR	69	Sound	hi142b	2709249	0	1			0		other	0
SEE_10_64_MR	70	Picture	500+	2779413	0	1	5167	1	0	5000	other	0
SEE_10_64_MR	71	Picture	low_A123	2784579	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	72	Picture	+	2814911	0	1	20166	1	0	30730	other	0
SEE_10_64_MR	73	Picture	hi_F009	2835077	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	74	Picture	+	2865410	0	1	20166	1	0	44010	other	0
SEE_10_64_MR	75	Picture	low_L098	2885576	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	76	Picture	+	2915908	0	1	81831	1	0	next	other	0
SEE_10_64_MR	77	Sound	hi243a	2935909	0	1			0		other	0
SEE_10_64_MR	78	Picture	500+	2997739	0	1	5167	1	0	5000	other	0
SEE_10_64_MR	79	Picture	hi_F366	3003072	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	80	Picture	+	3033238	0	1	59831	1	0	next	other	0
SEE_10_64_MR	81	Sound	hi243b	3033239	0	1			0		other	0
SEE_10_64_MR	82	Picture	500+	3093069	0	1	5166	1	0	5000	other	0
SEE_10_64_MR	83	Picture	low_A091	3098236	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	84	Picture	+	3128568	0	1	20166	1	0	44450	other	0
SEE_10_64_MR	85	Picture	low_F125	3148734	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	86	Picture	+	3179067	0	1	20166	1	0	42850	other	0
SEE_10_64_MR	87	Picture	hi_F021	3199233	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	88	Picture	+	3229565	0	1	83331	1	0	next	other	0
SEE_10_64_MR	89	Sound	low079a	3249566	0	1			0		other	0
SEE_10_64_MR	90	Picture	500+	3312896	0	1	5166	1	0	5000	other	0
SEE_10_64_MR	91	Picture	hi_F174	3318229	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	92	Picture	+	3348395	0	1	63665	1	0	next	other	0
SEE_10_64_MR	93	Sound	low079b	3348395	0	1			0		other	0
SEE_10_64_MR	94	Picture	500+	3412059	0	1	5167	1	0	5000	other	0
SEE_10_64_MR	95	Picture	low_L143	3417226	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	96	Picture	+	3447558	0	1	20166	1	0	33300	other	0
SEE_10_64_MR	97	Picture	hi_F034	3467724	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	98	Picture	+	3498057	0	1	20166	1	0	39690	other	0
SEE_10_64_MR	99	Picture	low_L124	3518223	0	1	30166	1	0	30000	other	0
SEE_10_64_MR	100	Picture	+	3548555	0	1	81997	1	0	next	other	0
SEE_10_64_MR	101	Sound	hi244a	3568556	0	1			0		other	0
SEE_10_64_MR	102	Picture	500+	3630553	0	1	5166	1	0	5000	other	0
SEE_10_64_MR	103	Picture	hi_P023	3635719	0	1	30166	1	0	30000	other	0
